#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DSVT,06S-02G,Hy-Lok 6mm,"Hy-Lok 1/4""",-,S316,Нержавеющая сталь (316-я)
,,08S-02G,Hy-Lok 8mm,"Hy-Lok 1/4""",STEL,STEL,Углеродистая сталь
,,10S-03G,Hy-Lok 10mm,"Hy-Lok 3/8""",BRAS,BRAS,Латунь
,,12S-03G,Hy-Lok 12mm,"Hy-Lok 3/8""",,,
,,14S-04G,Hy-Lok 14mm,"Hy-Lok 1/2""",,,
,,16S-04G,Hy-Lok 16mm,"Hy-Lok 1/2""",,,
,,20S-06G,Hy-Lok 20mm,"Hy-Lok 3/4""",,,
,,25S-08G,Hy-Lok 25mm,"Hy-Lok 1""",,,
,,30S-10G,Hy-Lok 30mm,"Hy-Lok 1 1/4""",,,
,,38S-12G,Hy-Lok 38mm,"Hy-Lok 1 1/2""",,,
