#;Заказной код;Размер;Параметр:Размер:Наруж. диаметр трубы (D);Параметр:Размер:Резьба RT;Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;CGC;4-M12;"Hy-Lok 1/4""";M12x1.5;-;S316;Нержавеющая сталь
;;4-M20;"Hy-Lok 1/4""";M20x1.5;BRAS;BRAS;Латунь
;;6-M20;"Hy-Lok 3/8""";M20x1.5;STEL;STEL;Углеродистая сталь
;;8-M20;"Hy-Lok 1/2""";M20x1.5;;;
;;6M-M10;Hy-Lok 6mm;M10x1;;;
;;6M-M12;Hy-Lok 6mm;M12x1.5;;;
;;6M-M16;Hy-Lok 6mm;M16x1.5;;;
;;6M-M20;Hy-Lok 6mm;M20x1.5;;;
;;8M-M12;Hy-Lok 8mm;M12x1.5;;;
;;8M-M14;Hy-Lok 8mm;M14x1.5;;;
;;8M-M16;Hy-Lok 8mm;M16x1.5;;;
;;8M-M20;Hy-Lok 8mm;M20x1.5;;;
;;10M-M12;Hy-Lok 10mm;M12x1.5;;;
;;10M-M16;Hy-Lok 10mm;M16x1.5;;;
;;10M-M20;Hy-Lok 10mm;M20x1.5;;;
;;12M-M12;Hy-Lok 12mm;M12x1.5;;;
;;12M-M16;Hy-Lok 12mm;M16x1.5;;;
;;12M-M20;Hy-Lok 12mm;M20x1.5;;;
;;14M-M20;Hy-Lok 14mm;M20x1.5;;;
;;16M-M20;Hy-Lok 16mm;M20x1.5;;;
;;16M-M22;Hy-Lok 16mm;M22x1.5;;;
;;18M-M20;Hy-Lok 18mm;M20x1.5;;;
