#;Заказной код;Размер;Параметр:Размер:Размер резьбы (внутрен.);Параметр:Размер:Tx;Параметр:Размер:H;Параметр:Размер:E;Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;KP-G;"""01";"G 1/4""";6.0;2.0;10.7;-;S316;Нержавеющая сталь
;;"""02";"G 3/8""";6.0;2.0;14.2;CU;CU;Медь
;;"""03";"G 1/2""/M20x1.5";6.0;2.0;17.8;STEL;STEL;Углеродистая сталь
