#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Параметр:Размер:Материал корпуса
,H-ZBT,4-4-B,"ZCR M 1/4""","ниппель 1/4""",нерж.сталь SM6L
,,4-4L50-B,"ZCR M 1/4""","ниппель 1/4""",нерж.сталь SM6L
