#;Заказной код;Размер;Параметр:Размер:Наруж. диаметр трубы (D);Параметр:Размер:Резьба RT;Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;CFC;6M-M12;Hy-Lok 6mm;M12x1.5;-;S316;Нержавеющая сталь
;;4-M16;"Hy-Lok 1/4""";M16x1.5;BRAS;BRAS;Латунь
;;6M-M20;Hy-Lok 6mm;M20x1.5;STEL;STEL;Углеродистая сталь
;;12M-M20;Hy-Lok 12mm;M20x1.5;;;
;;14M-M20;Hy-Lok 14mm;M20x1.5;;;
