#,Заказной код,Размер,Параметр:Размер:Подсоединение,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DBUW,06L,Hy-Lok 6mm,-,S316,Нержавеющая сталь (316-я)
,,08L,Hy-Lok 8mm,STEL,STEL,Углеродистая сталь
,,10L,Hy-Lok 10mm,BRAS,BRAS,Латунь
,,12L,Hy-Lok 12mm,,,
,,15L,Hy-Lok 15mm,,,
,,18L,Hy-Lok 18mm,,,
,,22L,Hy-Lok 22mm,,,
,,28L,Hy-Lok 28mm,,,
,,35L,Hy-Lok 35mm,,,
,,42L,Hy-Lok 42mm,,,
