#,Заказной код,Размер,Параметр:Размер:Подсоединение,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,Q,1BBH-6M,Hy-Lok 6mm,-,S316,Нержавеющая сталь
,,1BBH-8M,Hy-Lok 8mm,BRAS,BRAS,Латунь
,,2BBH-10M,Hy-Lok 10mm,,,
,,3BBH-12M,Hy-Lok 12mm,,,
,,1BBH-4T,"Hy-Lok 1/4""",,,
,,2BBH-6T,"Hy-Lok 3/8""",,,
,,3BBH-8T,"Hy-Lok 1/2""",,,
