#,Заказной код,Размер,Параметр:Размер:Наружный диаметр трубы (D),Параметр:Размер:UNF,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,CSLA,6M-4U,Hy-Lok 6mm,7/16-20,-,S316,Нержавеющая сталь
,,6M-6U,Hy-Lok 6mm,9/16-18,BRAS,BRAS,Латунь
,,8M-5U,Hy-Lok 8mm,1/2-20,STEL,STEL,Углеродистая сталь
,,10M-6U,Hy-Lok 10mm,9/16-18,,,
,,10M-8U,Hy-Lok 10mm,3/4-16,,,
,,12M-8U,Hy-Lok 12mm,3/4-16,,,
,,16M-10U,Hy-Lok 16mm,7/8-14,,,
,,20M-12U,Hy-Lok 20mm,1-1/16-12,,,
,,22M-14U,Hy-Lok 22mm,1-3/16-12,,,
,,25M-16U,Hy-Lok 25mm,1-5/16-12,,,
,,4-4U,"Hy-Lok 1/4""","UNF 1/4""",,,
,,4-6U,"Hy-Lok 1/4""","UNF 3/8""",,,
,,5-5U,"Hy-Lok 5/16""","UNF 5/16""",,,
,,6-6U,"Hy-Lok 3/8""","UNF 3/8""",,,
,,6-8U,"Hy-Lok 3/8""","UNF 1/2""",,,
,,8-8U,"Hy-Lok 1/2""","UNF 1/2""",,,
,,10-10U,"Hy-Lok 5/8""","UNF 5/8""",,,
,,12-12U,"Hy-Lok 3/4""","UNF 3/4""",,,
,,14-14U,"Hy-Lok 7/8""","UNF 7/8""",,,
,,16-16U,"Hy-Lok 1""","UNF 1""",,,
,,20-20U,"Hy-Lok 1 1/4""","UNF 1 1/4""",,,
,,24-24U,"Hy-Lok 1 1/2""","UNF 1 1/2""",,,
,,32-32U,"Hy-Lok 2""","UNF 2""",,,
