#,Заказной код,Размер,Параметр:Размер:Подсоединение,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,Q,1BF-2N,"NPT 1/8""",-,S316,Нержавеющая сталь
,,1BF-4N,"NPT 1/4""",STEL,STEL,Углеродистая сталь
,,2BF-4N,"NPT 1/4""",BRAS,BRAS,Латунь
,,2BF-6N,"NPT 3/8""",,,
,,3BF-8N,"NPT 1/2""",,,
,,1BF-4R,"PT 1/4""",,,
,,2BF-6R,"PT 3/8""",,,
,,3BF-8R,"PT 1/2""",,,
