#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Параметр:Размер:Материал корпуса
,H-MU,6-4A-B,"патрубок 3/8""","1/4""",нерж.сталь SM6L
,,8-4A-B,"патрубок 1/2""","1/4""",нерж.сталь SM6L
,,8-6A-B,"патрубок 1/2""","3/8""",нерж.сталь SM6L
,,8M-6MA-B,патрубок 8mm,6mm,нерж.сталь SM6L
,,12M-6MA-B,патрубок 12mm,6mm,нерж.сталь SM6L
,,12M-8MA-B,патрубок 12mm,8mm,нерж.сталь SM6L
