#,Заказной код,Размер,Параметр:Размер:Ниппель,Параметр:Размер:G,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,CAM,2-2G,"1/8""","G 1/8""",-,S316,Нержавеющая сталь
,,2-4G,"1/8""","G 1/4""",BRAS,BRAS,Латунь
,,4-2G,"1/4""","G 1/8""",STEL,STEL,Углеродистая сталь
,,4-4G,"1/4""","G 1/4""",,,
,,4-6G,"1/4""","G 3/8""",,,
,,4-8G,"1/4""","G 1/2""",,,
,,5-4G,"5/16""","G 1/4""",,,
,,6-2G,"3/8""","G 1/8""",,,
,,6-4G,"3/8""","G 1/4""",,,
,,6-6G,"3/8""","G 3/8""",,,
,,6-8G,"3/8""","G 1/2""",,,
,,8-4G,"1/2""","G 1/4""",,,
,,8-6G,"1/2""","G 3/8""",,,
,,8-8G,"1/2""","G 1/2""",,,
,,12-8G,"3/4""","G 1/2""",,,
,,12-12G,"3/4""","G 3/4""",,,
,,16-12G,"1""","G 3/4""",,,
,,16-16G,"1""","G 1""",,,
,,3M-2G,3mm,"G 1/8""",,,
,,3M-4G,3mm,"G 1/4""",,,
,,6M-2G,6mm,"G 1/8""",,,
,,6M-4G,6mm,"G 1/4""",,,
,,6M-6G,6mm,"G 3/8""",,,
,,6M-8G,6mm,"G 1/2""",,,
,,8M-2G,8mm,"G 1/8""",,,
,,8M-4G,8mm,"G 1/4""",,,
,,10M-2G,10mm,"G 1/8""",,,
,,10M-4G,10mm,"G 1/4""",,,
,,10M-6G,10mm,"G 3/8""",,,
,,10M-8G,10mm,"G 1/2""",,,
,,12M-4G,12mm,"G 1/4""",,,
,,12M-6G,12mm,"G 3/8""",,,
,,12M-8G,12mm,"G 1/2""",,,
,,12M-12G,12mm,"G 3/4""",,,
,,14M-8G,14mm,"G 1/2""",,,
,,16M-8G,16mm,"G 1/2""",,,
,,16M-16G,16mm,"G 1""",,,
,,18M-8G,18mm,"G 1/2""",,,
,,20M-8G,20mm,"G 1/2""",,,
,,20M-12G,20mm,"G 3/4""",,,
,,25M-12G,25mm,"G 3/4""",,,
,,25M-16G,25mm,"G 1""",,,
