#;Заказной код;Наруж. диаметр трубы (D);Параметр:Наруж. диаметр трубы (D):Наруж. диаметр трубы (D);Условное обозначение:Наруж. диаметр трубы (D):Наруж. диаметр трубы (D);Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;CBU;1;Hy-Lok 1/16;Подсоединение;-;S316;Нержавеющая сталь
;;2;Hy-Lok 1/8;Подсоединение;BRAS;BRAS;Латунь
;;3;Hy-Lok 3/16;Подсоединение;STEL;STEL;Углеродистая сталь
;;4;Hy-Lok 1/4;Подсоединение;;;
;;5;Hy-Lok 5/16;Подсоединение;;;
;;6;Hy-Lok 3/8;Подсоединение;;;
;;8;Hy-Lok 1/2;Подсоединение;;;
;;10;Hy-Lok 5/8;Подсоединение;;;
;;12;Hy-Lok 3/4;Подсоединение;;;
;;14;Hy-Lok 7/8;Подсоединение;;;
;;16;Hy-Lok 1;Подсоединение;;;
;;20;Hy-Lok 1 1/4;Подсоединение;;;
;;24;Hy-Lok 1 1/2;Подсоединение;;;
;;32;Hy-Lok 2;Подсоединение;;;
