#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DMC,06L-01R,DIN 6mm,"BSPT 1/8""",-,S316,Нержавеющая сталь (316-я)
,,06L-02R,DIN 6mm,"BSPT 1/4""",STEL,STEL,Углеродистая сталь
,,08L-02R,DIN 8mm,"BSPT 1/4""",BRAS,BRAS,Латунь
,,10L-02R,DIN 10mm,"BSPT 1/4""",,,
,,10L-03R,DIN 10mm,"BSPT 3/8""",,,
,,12L-02R,DIN 12mm,"BSPT 1/4""",,,
,,12L-03R,DIN 12mm,"BSPT 3/8""",,,
,,12L-04R,DIN 12mm,"BSPT 1/2""",,,
,,15L-03R,DIN 15mm,"BSPT 3/8""",,,
,,15L-04R,DIN 15mm,"BSPT 1/2""",,,
,,18L-04R,DIN 18mm,"BSPT 1/2""",,,
,,22L-06R,DIN 22mm,"BSPT 3/4""",,,
