#,Заказной код,Размер,Параметр:Размер:Наружный диаметр трубы (D),Параметр:Размер:Под приварку,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,CWC,3M-2P,Hy-Lok 3mm,"1/8""",-,S316,Нержавеющая сталь
,,4M-2P,Hy-Lok 4mm,"1/8""",BRAS,BRAS,Латунь
,,6M-2P,Hy-Lok 6mm,"1/8""",STEL,STEL,Углеродистая сталь
,,6M-4P,Hy-Lok 6mm,"1/4""",,,
,,6M-6P,Hy-Lok 6mm,"3/8""",,,
,,6M-8P,Hy-Lok 6mm,"1/2""",,,
,,8M-2P,Hy-Lok 8mm,"1/8""",,,
,,8M-4P,Hy-Lok 8mm,"1/4""",,,
,,8M-8P,Hy-Lok 8mm,"1/2""",,,
,,10M-2P,Hy-Lok 10mm,"1/8""",,,
,,10M-4P,Hy-Lok 10mm,"1/4""",,,
,,10M-6P,Hy-Lok 10mm,"3/8""",,,
,,10M-8P,Hy-Lok 10mm,"1/2""",,,
,,12M-4P,Hy-Lok 12mm,"1/4""",,,
,,12M-6P,Hy-Lok 12mm,"3/8""",,,
,,12M-8P,Hy-Lok 12mm,"1/2""",,,
,,12M-12P,Hy-Lok 12mm,"3/4""",,,
,,16M-8P,Hy-Lok 16mm,"1/2""",,,
,,18M-8P,Hy-Lok 18mm,"1/2""",,,
,,20M-12P,Hy-Lok 20mm,"3/4""",,,
,,25M-16P,Hy-Lok 25mm,"1""",,,
,,32M-20P,Hy-Lok 32mm,"1 1/4""",,,
,,38M-24P,Hy-Lok 38mm,"1 1/2""",,,
,,50M-32P,Hy-Lok 50mm,"2""",,,
