#,Заказной код,Размер,Параметр:Размер:Подсоединение,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DVSTI,M10,M10x1,-,S316,Нержавеющая сталь (316-я)
,,M12,"M12x1,5",STEL,STEL,Углеродистая сталь
,,M14,"M14x1,5",BRAS,BRAS,Латунь
,,M16,"M16x1,5",,,
,,M18,"M18x1,5",,,
,,M22,"M22x1,5",,,
,,M26,"M26x1,5",,,
,,M27,M27x2,,,
,,M33,M33x2,,,
,,M42,M42x2,,,
