#,Заказной код,Размер,Параметр:Размер:D,Параметр:Размер:D1,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,CBR,3M-3M,Hy-Lok 3mm,3mm,-,S316,Нержавеющая сталь
,,6M-6M,Hy-Lok 6mm,ниппель 6mm,BRAS,BRAS,Латунь
,,10M-10M,Hy-Lok 10mm,10mm,STEL,STEL,Углеродистая сталь
,,12M-12M,Hy-Lok 12mm,12mm,,,
