#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Параметр:Размер:Материал корпуса
,H-ZGM,2-B,"ZCR 1/8""","патрубок 1/8""",нерж.сталь SM6L
,,4-2-B,"ZCR 1/4""","патрубок 1/8""",нерж.сталь SM6L
,,4-B,"ZCR 1/4""","патрубок 1/4""",нерж.сталь SM6L
,,8-4-B,"ZCR 1/2""","патрубок 1/4""",нерж.сталь SM6L
,,6-B,"ZCR 3/8""","патрубок 3/8""",нерж.сталь SM6L
,,8-B,"ZCR 1/2""","патрубок 1/2""",нерж.сталь SM6L
,,12-B,"ZCR 3/4""","патрубок 3/4""",нерж.сталь SM6L
,,16-B,"ZCR 1""","патрубок 1""",нерж.сталь SM6L
