#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,H-MFAB,2GN,"G 1/8""","NPT 1/8""",-,S316,Нержавеющая сталь
,,4GN,"G 1/4""","NPT 1/4""",BRAS,BRAS,Латунь
,,6GN,"G 3/8""","NPT 3/8""",STEL,STEL,Углеродистая сталь
,,8GN,"G 1/2""","NPT 1/2""",,,
,,12GN,"G 3/4""","NPT 3/4""",,,
,,16GN,"G 1""","NPT 1""",,,
