#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Материал корпуса
,H-MX,4A-B,"патрубок 1/4""",нерж.сталь SM6L
,,6A-B,"патрубок 3/8""",нерж.сталь SM6L
,,8A-B,"патрубок 1/2""",нерж.сталь SM6L
,,6MA-B,патрубок 6mm,нерж.сталь SM6L
,,8MA-B,патрубок 8mm,нерж.сталь SM6L
,,10MA-B,патрубок 10mm,нерж.сталь SM6L
,,12MA-B,патрубок 12mm,нерж.сталь SM6L
