#,Заказной код,Размер,Параметр:Размер:Вход,Параметр:Размер:Выход
,FASH-MRF,4N-4G,"NPT 1/4"" наруж.","G 1/4"" вращ."
,,4N-20M,"NPT 1/4"" наруж.","M20x1,5 вращ."
,,8N-8G,"NPT 1/2"" наруж.",G 1/2 вращ.
,,8N-20M,"NPT 1/2"" наруж.","M20x1,5 вращ."
,,8G,"G 1/2"" наруж.",G 1/2” вращ.
,,8G-20M,"G 1/2"" наруж.","M20x1,5 вращ."
,,20M-8G,"M20x1,5 наруж.","G 1/2"" вращ."
,,20M,"M20x1,5 наруж.","M20x1,5 вращ."
