#,Заказной код,Размер,Параметр:Размер:Подсоединение,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,Q,1SSBH-6M,Hy-Lok 6mm,-,S316,Нержавеющая сталь
,,1SSBH-8M,Hy-Lok 8mm,STEL,STEL,Углеродистая сталь
,,2SSBH-10M,Hy-Lok 10mm,BRAS,BRAS,Латунь
,,3SSBH-12M,Hy-Lok 12mm,,,
,,1SSBH-4T,"Hy-Lok 1/4""",,,
,,2SSBH-6T,"Hy-Lok 3/8""",,,
,,3SSBH-8T,"Hy-Lok 1/2""",,,
