#,Заказной код,Параметр:Заказной код:Рабочее давление,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Тип
,FT5TS02,1034 бар,"NPT 1/8""",Крест
,FT5TS04,1034 бар,"NPT 1/4""",Крест
,FT5TS06,1034 бар,"NPT 3/8""",Крест
,FT5TS08,1034 бар,"NPT 1/2""",Крест
,FT5TS10,1034 бар,"NPT 3/4""",Крест
,FT5TS12,1034 бар,"NPT 1""",Крест
,FT20ES04,1379 бар,"1/4""",Уголок
,FT20ES06,1379 бар,"3/8""",Уголок
,FT20ES09,1379 бар,"9/16""",Уголок
,FT20ES10,1379 бар,"3/4""",Уголок
,FT20ES12,1379 бар,"1""",Уголок
,FT20TS04,1379 бар,"1/4""",Тройник
,FT20TS06,1379 бар,"3/8""",Тройник
,FT20TS09,1379 бар,"9/16""",Тройник
,FT20TS10,1379 бар,"3/4""",Тройник
,FT20TS12,1379 бар,"1""",Тройник
,FT20CS04,1379 бар,"1/4""",Крест
,FT20CS06,1379 бар,"3/8""",Крест
,FT20CS09,1379 бар,"9/16""",Крест
,FT20CS10,1379 бар,"3/4""",Крест
,FT20CS12,1379 бар,"1""",Крест
,FT60ES04,4137 бар,"1/4""",Уголок
,FT60ES06,4137 бар,"3/8""",Уголок
,FT60ES09,4137 бар,"9/16""",Уголок
,FT30ES12,4137 бар,"1""",Уголок
,FT60TS04,4137 бар,"1/4""",Тройник
,FT60TS06,4137 бар,"3/8""",Тройник
,FT60TS09,4137 бар,"9/16""",Тройник
,FT30TS12,4137 бар,"1""",Тройник
,FT60CS04,4137 бар,"1/4""",Крест
,FT60CS06,4137 бар,"3/8""",Крест
,FT60CS09,4137 бар,"9/16""",Крест
,FT30CS12,4137 бар,"1""",Крест
,FT100ES04,6895 бар,"1/4""",Уголок
,FT100TS04,6895 бар,"1/4""",Тройник
,FT100CS04,6895 бар,"1/4""",Крест
,FT150ES06,10342 бар,"3/8""",Уголок
,FT150TS06,10342 бар,"3/8""",Тройник
,FT150CS06,10342 бар,"3/8""",Крест
