#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Параметр:Размер:Материал корпуса
,H-ZSC,4-6U-B,"ZCR M 1/4""","UNF 3/8""",нерж.сталь SM6L
,,8-6U-B,"ZCR M 1/2""","UNF 3/8""",нерж.сталь SM6L
,,8-10U-B,"ZCR M 1/2""","UNF 5/8""",нерж.сталь SM6L
