#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,H-SSB,4T-4G,"патрубок ДУ 1/4""","G 1/4""",-,S316,Нержавеющая сталь
,,6T-6G,"патрубок ДУ 3/8""","G 3/8""",STEL,STEL,Углеродистая сталь
,,,,,BRAS,BRAS,Латунь
