#,Заказной код,Размер,Параметр:Размер:Подсоединение,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,Q,1SSH-3M,Hy-Lok 3mm,-,S316,Нержавеющая сталь
,,1SSH-6M,Hy-Lok 6mm,STEL,STEL,Углеродистая сталь
,,1SSH-8M,Hy-Lok 8mm,BRAS,BRAS,Латунь
,,2SSH-10M,Hy-Lok 10mm,,,
,,3SSH-12M,Hy-Lok 12mm,,,
,,1SSH-2T,"Hy-Lok 1/8""",,,
,,1SSH-4T,"Hy-Lok 1/4""",,,
,,2SSH-6T,"Hy-Lok 3/8""",,,
,,3SSH-8T,"Hy-Lok 1/2""",,,
