#;Заказной код;Размер;Параметр:Размер:Наруж. диаметр трубы (D);Параметр:Размер:Резьба (цилиндрическая);Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;CMCT;2M-M8x1 ;Hy-Lok 2mm;M8x1;-;S316;Нержавеющая сталь
;;2M-M12x1.5 ;Hy-Lok 2mm;M12x1,5;BRAS;BRAS;Латунь
;;2M-M20x1.5 ;Hy-Lok 2mm;M20x1,5;STEL;STEL;Углеродистая сталь
;;3M-M8x1 ;Hy-Lok 3mm;M8x1;;;
;;3M-M12x1.5 ;Hy-Lok 3mm;M12x1,5;;;
;;3M-M20x1.5 ;Hy-Lok 3mm;M20x1,5;;;
;;4M-M8x1 ;Hy-Lok 4mm;M8x1;;;
;;4M-M12x1.5 ;Hy-Lok 4mm;M12x1,5;;;
;;4M-M20x1.5 ;Hy-Lok 4mm;M20x1,5;;;
;;6M-M8x1 ;Hy-Lok 6mm;M8x1;;;
;;6M-M12x1.5 ;Hy-Lok 6mm;M12x1,5;;;
;;6M-M20x1.5 ;Hy-Lok 6mm;M20x1,5;;;
;;8M-M12x1.5 ;Hy-Lok 8mm;M12x1,5;;;
;;8M-M20x1.5 ;Hy-Lok 8mm;M20x1,5;;;
