#,Заказной код,Размер,Параметр:Размер:Наружный диаметр трубы (D),Параметр:Размер:SAE/MS,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,CSBT,4-4U,"Hy-Lok 1/4""",7/16-20,-,S316,Нержавеющая сталь
,,6-6U,"Hy-Lok 3/8""",9/16-18,BRAS,BRAS,Латунь
,,8-8U,"Hy-Lok 1/2""",3/4-16,STEL,STEL,Углеродистая сталь
,,12-12U,"Hy-Lok 3/4""",1-1/16-12,,,
,,16-16U,"Hy-Lok 1""",1-5/16-12,,,
