#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Параметр:Размер:Подсоединение 3,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DTR,06L-06L-08L,DIN 6mm,6mm,8mm,-,S316,Нержавеющая сталь (316-я)
,,08L-08L-06L,DIN 8mm,8mm,6mm,STEL,STEL,Углеродистая сталь
,,06L-06L-10L,DIN 6mm,6mm,10mm,BRAS,BRAS,Латунь
,,08L-08L-10L,DIN 8mm,8mm,10mm,,,
,,10L-10L-06L,DIN 10mm,10mm,6mm,,,
,,10L-10L-08L,DIN 10mm,10mm,8mm,,,
,,10L-06L-10L,DIN 10mm,6mm,10mm,,,
,,08L-08L-12L,DIN 8mm,8mm,12mm,,,
,,12L-12L-06L,DIN 12mm,12mm,6mm,,,
,,12L-08L-08L,DIN 12mm,8mm,8mm,,,
,,12L-12L-08L,DIN 12mm,12mm,8mm,,,
,,12L-10L-10L,DIN 12mm,10mm,10mm,,,
,,12L-12L-10L,DIN 12mm,12mm,10mm,,,
,,12L-10L-12L,DIN 12mm,10mm,12mm,,,
,,10L-10L-15L,DIN 10mm,10mm,15mm,,,
,,12L-12L-15L,DIN 12mm,12mm,15mm,,,
,,15L-15L-06L,DIN 15mm,15mm,6mm,,,
,,15L-15L-10L,DIN 15mm,15mm,10mm,,,
,,15L-12L-12L,DIN 15mm,12mm,12mm,,,
,,15L-15L-12L,DIN 15mm,15mm,12mm,,,
,,15L-12L-15L,DIN 15mm,12mm,15mm,,,
,,12L-12L-18L,DIN 12mm,12mm,18mm,,,
,,18L-10L-10L,DIN 18mm,10mm,10mm,,,
,,18L-18L-10L,DIN 18mm,18mm,10mm,,,
,,18L-18L-12L,DIN 18mm,18mm,12mm,,,
,,18L-18L-15L,DIN 18mm,18mm,15mm,,,
,,18L-10L-18L,DIN 18mm,10mm,18mm,,,
,,22L-22L-10L,DIN 22mm,22mm,10mm,,,
,,22L-22L-12L,DIN 22mm,22mm,12mm,,,
,,22L-15L-15L,DIN 22mm,15mm,15mm,,,
,,22L-22L-15L,DIN 22mm,22mm,15mm,,,
,,22L-18L-18L,DIN 22mm,18mm,18mm,,,
,,22L-22L-18L,DIN 22mm,22mm,18mm,,,
,,22L-18L-22L,DIN 22mm,18mm,22mm,,,
,,28L-28L-10L,DIN 28mm,28mm,10mm,,,
,,28L-28L-12L,DIN 28mm,28mm,12mm,,,
,,28L-28L-15L,DIN 28mm,28mm,15mm,,,
,,28L-28L-18L,DIN 28mm,28mm,18mm,,,
,,28L-22L-22L,DIN 28mm,22mm,22mm,,,
,,28L-28L-22L,DIN 28mm,28mm,22mm,,,
