#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DR,08S-06S,DIN 8mm,DIN 6mm,-,S316,Нержавеющая сталь (316-я)
,,10S-06S,DIN 10mm,DIN 6mm,STEL,STEL,Углеродистая сталь
,,10S-08S,DIN 10mm,DIN 8mm,BRAS,BRAS,Латунь
,,12S-06S,DIN 12mm,DIN 6mm,,,
,,12S-08S,DIN 12mm,DIN 8mm,,,
,,12S-10S,DIN 12mm,DIN 10mm,,,
,,14S-06S,DIN 14mm,DIN 6mm,,,
,,14S-08S,DIN 14mm,DIN 8mm,,,
,,14S-10S,DIN 14mm,DIN 10mm,,,
,,14S-12S,DIN 14mm,DIN 12mm,,,
,,16S-06S,DIN 16mm,DIN 6mm,,,
,,16S-08S,DIN 16mm,DIN 8mm,,,
,,16S-10S,DIN 16mm,DIN 10mm,,,
,,16S-12S,DIN 16mm,DIN 12mm,,,
,,16S-14S,DIN 16mm,DIN 14mm,,,
,,20S-06S,DIN 20mm,DIN 6mm,,,
,,20S-08S,DIN 20mm,DIN 8mm,,,
,,20S-10S,DIN 20mm,DIN 10mm,,,
,,20S-12S,DIN 20mm,DIN 12mm,,,
,,20S-14S,DIN 20mm,DIN 14mm,,,
,,20S-16S,DIN 20mm,DIN 16mm,,,
,,25S-06S,DIN 25mm,DIN 6mm,,,
,,25S-08S,DIN 25mm,DIN 8mm,,,
,,25S-10S,DIN 25mm,DIN 10mm,,,
,,25S-12S,DIN 25mm,DIN 12mm,,,
,,25S-14S,DIN 25mm,DIN 14mm,,,
,,25S-16S,DIN 25mm,DIN 16mm,,,
,,25S-20S,DIN 25mm,DIN 20mm,,,
,,30S-06S,DIN 30mm,DIN 6mm,,,
,,30S-08S,DIN 30mm,DIN 8mm,,,
,,30S-10S,DIN 30mm,DIN 10mm,,,
,,30S-12S,DIN 30mm,DIN 12mm,,,
,,30S-14S,DIN 30mm,DIN 14mm,,,
,,30S-16S,DIN 30mm,DIN 16mm,,,
,,30S-20S,DIN 30mm,DIN 20mm,,,
,,30S-25S,DIN 30mm,DIN 25mm,,,
,,38S-06S,DIN 38mm,DIN 6mm,,,
,,38S-08S,DIN 38mm,DIN 8mm,,,
,,38S-10S,DIN 38mm,DIN 10mm,,,
,,38S-12S,DIN 38mm,DIN 12mm,,,
,,38S-14S,DIN 38mm,DIN 14mm,,,
,,38S-16S,DIN 38mm,DIN 16mm,,,
,,38S-20S,DIN 38mm,DIN 20mm,,,
,,38S-25S,DIN 38mm,DIN 25mm,,,
,,38S-30S,DIN 38mm,DIN 30mm,,,
