#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DLM,04LL-01R,DIN 4mm,"BSPT 1/8""",-,S316,Нержавеющая сталь (316-я)
,,06LL-01R,DIN 6mm,"BSPT 1/8""",STEL,STEL,Углеродистая сталь
,,08LL-01R,DIN 8mm,"BSPT 1/8""",BRAS,BRAS,Латунь
,,10LL-02R,DIN 10mm,"BSPT 1/4""",,,
,,12LL-02R,DIN 12mm,"BSPT 1/4""",,,
