#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DUR,08L-06L,DIN 8mm,DIN 6mm,-,S316,Нержавеющая сталь (316-я)
,,10L-06L,DIN 10mm,DIN 6mm,STEL,STEL,Углеродистая сталь
,,10L-08L,DIN 10mm,DIN 8mm,BRAS,BRAS,Латунь
,,12L-06L,DIN 12mm,DIN 6mm,,,
,,12L-08L,DIN 12mm,DIN 8mm,,,
,,12L-10L,DIN 12mm,DIN 10mm,,,
,,15L-10L,DIN 15mm,DIN 10mm,,,
,,15L-12L,DIN 15mm,DIN 12mm,,,
,,18L-10L,DIN 18mm,DIN 10mm,,,
,,18L-12L,DIN 18mm,DIN 12mm,,,
,,18L-15L,DIN 18mm,DIN 15mm,,,
,,22L-12L,DIN 22mm,DIN 12mm,,,
,,22L-18L,DIN 22mm,DIN 18mm,,,
,,28L-18L,DIN 28mm,DIN 18mm,,,
,,28L-22L,DIN 28mm,DIN 22mm,,,
,,35L-22L,DIN 35mm,DIN 22mm,,,
,,35L-28L,DIN 35mm,DIN 28mm,,,
