#;Заказной код;Размер;Параметр:Размер:Наруж. диаметр трубы (D);Параметр:Размер:Резьба UNF;Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал;;;
;CFU;3M-2;Hy-Lok 3mm;5/16-24;-;S316;Нержавеющая сталь;;;
;;3M-4;Hy-Lok 3mm;7/16-20;BRAS;BRAS;Латунь;;;
;;6M-4;Hy-Lok 6mm;7/16-20;STEL;STEL;Углеродистая сталь;;;
;;8M-5;Hy-Lok 8mm;1/2-20;;;;;;
;;10M-4;Hy-Lok 10mm;7/16-20;;;;;;
;;10M-6;Hy-Lok 10mm;9/16-18;;;;;;
;;12M-8;Hy-Lok 12mm;3/4-16;;;;;;
;;20M-12;Hy-Lok 20mm;1-1/16-12;;;;;;
;;25M-16;Hy-Lok 25mm;1-5/16-12;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
