#,Заказной код,Размер,Параметр:Размер:Накидная гайка,Параметр:Размер:Обжимной фитинг,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,CSRA,6M-3M,Hy-Lok 6mm,Hy-Lok 3mm,-,S316,Нержавеющая сталь
,,6M-4M,Hy-Lok 6mm,Hy-Lok 4mm,BRAS,BRAS,Латунь
,,6M-8M,Hy-Lok 6mm,Hy-Lok 8mm,STEL,STEL,Углеродистая сталь
,,6M-10M,Hy-Lok 6mm,Hy-Lok 10mm,,,
,,6M-12M,Hy-Lok 6mm,Hy-Lok 12mm,,,
,,8M-6M,Hy-Lok 8mm,Hy-Lok 6mm,,,
,,8M-12M,Hy-Lok 8mm,Hy-Lok 12mm,,,
,,10M-6M,Hy-Lok 10mm,Hy-Lok 6mm,,,
,,10M-8M,Hy-Lok 10mm,Hy-Lok 8mm,,,
,,10M-12M,Hy-Lok 10mm,Hy-Lok 12mm,,,
,,12M-6M,Hy-Lok 12mm,Hy-Lok 6mm,,,
,,12M-8M,Hy-Lok 12mm,Hy-Lok 8mm,,,
,,12M-10M,Hy-Lok 12mm,Hy-Lok 10mm,,,
,,12M-16M,Hy-Lok 12mm,Hy-Lok 16mm,,,
,,12M-18M,Hy-Lok 12mm,Hy-Lok 18mm,,,
,,15M-10M,Hy-Lok 15mm,Hy-Lok 10mm,,,
,,15M-12M,Hy-Lok 15mm,Hy-Lok 12mm,,,
,,16M-10M,Hy-Lok 16mm,Hy-Lok 10mm,,,
,,16M-12M,Hy-Lok 16mm,Hy-Lok 12mm,,,
,,16M-18M,Hy-Lok 16mm,Hy-Lok 18mm,,,
,,16M-20M,Hy-Lok 16mm,Hy-Lok 20mm,,,
,,18M-10M,Hy-Lok 18mm,Hy-Lok 10mm,,,
,,18M-12M,Hy-Lok 18mm,Hy-Lok 12mm,,,
,,18M-20M,Hy-Lok 18mm,Hy-Lok 20mm,,,
,,18M-22M,Hy-Lok 18mm,Hy-Lok 22mm,,,
,,18M-25M,Hy-Lok 18mm,Hy-Lok 25mm,,,
,,20M-12M,Hy-Lok 20mm,Hy-Lok 12mm,,,
,,20M-18M,Hy-Lok 20mm,Hy-Lok 18mm,,,
,,20M-22M,Hy-Lok 20mm,Hy-Lok 22mm,,,
,,20M-25M,Hy-Lok 20mm,Hy-Lok 25mm,,,
,,22M-12M,Hy-Lok 22mm,Hy-Lok 12mm,,,
,,22M-18M,Hy-Lok 22mm,Hy-Lok 18mm,,,
,,22M-20M,Hy-Lok 22mm,Hy-Lok 20mm,,,
,,25M-12M,Hy-Lok 25mm,Hy-Lok 12mm,,,
,,25M-18M,Hy-Lok 25mm,Hy-Lok 18mm,,,
,,25M-20M,Hy-Lok 25mm,Hy-Lok 20mm,,,
,,25M-22M,Hy-Lok 25mm,Hy-Lok 22mm,,,
