#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DMC,06S-02G,DIN 6mm,"BSPP 1/4""",-,S316,Нержавеющая сталь (316-я)
,,06S-04G,DIN 6mm,"BSPP 1/2""",STEL,STEL,Углеродистая сталь
,,08S-02G,DIN 8mm,"BSPP 1/4""",BRAS,BRAS,Латунь
,,08S-03G,DIN 8mm,"BSPP 3/8""",,,
,,10S-03G,DIN 10mm,"BSPP 3/8""",,,
,,10S-02G,DIN 10mm,"BSPP 1/4""",,,
,,10S-04G,DIN 10mm,"BSPP 1/2""",,,
,,12S-03G,DIN 12mm,"BSPP 3/8""",,,
,,12S-02G,DIN 12mm,"BSPP 1/4""",,,
,,12S-04G,DIN 12mm,"BSPP 1/2""",,,
,,14S-04G,DIN 14mm,"BSPP 1/2""",,,
,,14S-03G,DIN 14mm,"BSPP 3/8""",,,
,,16S-04G,DIN 16mm,"BSPP 1/2""",,,
,,16S-03G,DIN 16mm,"BSPP 3/8""",,,
,,16S-06G,DIN 16mm,"BSPP 3/4""",,,
,,20S-06G,DIN 20mm,"BSPP 3/4""",,,
,,20S-04G,DIN 20mm,"BSPP 1/2""",,,
,,25S-08G,DIN 25mm,"BSPP 1""",,,
,,25S-06G,DIN 25mm,"BSPP 3/4""",,,
,,30S-10G,DIN 30mm,"BSPP 1 1/4""",,,
,,30S-08G,DIN 30mm,"BSPP 1""",,,
,,38S-12G,DIN 38mm,"BSPP 1 1/2""",,,
,,38S-10G,DIN 38mm,"BSPP 1 1/4""",,,
