#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Параметр:Размер:Материал корпуса
,H-ZBMC,4-4N-B,"ZCR M 1/4""","NPT 1/4""",нерж.сталь SM6L
,,8-4N-B,"ZCR M 1/2""","NPT 1/4""",нерж.сталь SM6L
