#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DOM,06L-M10,DIN 6mm,M10x1,-,S316,Нержавеющая сталь (316-я)
,,08L-M12,DIN 8mm,M12x1.5,STEL,STEL,Углеродистая сталь
,,10L-M14,DIN 10mm,M14x1.5,BRAS,BRAS,Латунь
,,12L-M16,DIN 12mm,M16x1.5,,,
,,15L-M18,DIN 15mm,M18x1.5,,,
,,18L-M22,DIN 18mm,M22x2,,,
,,22L-M27,DIN 22mm,M27x2,,,
,,28L-M33,DIN 28mm,M33x2,,,
,,35L-M42,DIN 35mm,M42x2,,,
,,06S-M12,DIN 6mm,M12x1.5,,,
,,08S-M14,DIN 8mm,M14x1.5,,,
,,10S-M16,DIN 10mm,M16x1.5,,,
,,12S-M18,DIN 12mm,M18x1.5,,,
,,16S-M22,DIN 16mm,M22x2,,,
,,20S-M27,DIN 20mm,M27x2,,,
,,25S-M33,DIN 25mm,M33x2,,,
,,30S-M42,DIN 30mm,M42x2,,,
