#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DRED,08S-06S,Hy-Lok 8mm,Hy-Lok 6mm,-,S316,Нержавеющая сталь (316-я)
,,10S-06S,Hy-Lok 10mm,Hy-Lok 6mm,STEL,STEL,Углеродистая сталь
,,10S-08S,Hy-Lok 10mm,Hy-Lok 8mm,BRAS,BRAS,Латунь
,,12S-06S,Hy-Lok 12mm,Hy-Lok 6mm,,,
,,12S-10S,Hy-Lok 12mm,Hy-Lok 10mm,,,
,,14S-06S,Hy-Lok 14mm,Hy-Lok 6mm,,,
,,14S-08S,Hy-Lok 14mm,Hy-Lok 8mm,,,
,,14S-10S,Hy-Lok 14mm,Hy-Lok 10mm,,,
,,14S-12S,Hy-Lok 14mm,Hy-Lok 12mm,,,
,,16S-06S,Hy-Lok 16mm,Hy-Lok 6mm,,,
,,16S-08S,Hy-Lok 16mm,Hy-Lok 8mm,,,
,,16S-10S,Hy-Lok 16mm,Hy-Lok 10mm,,,
,,16S-12S,Hy-Lok 16mm,Hy-Lok 12mm,,,
,,16S-14S,Hy-Lok 16mm,Hy-Lok 14mm,,,
,,20S-06S,Hy-Lok 20mm,Hy-Lok 6mm,,,
,,20S-08S,Hy-Lok 20mm,Hy-Lok 8mm,,,
,,20S-10S,Hy-Lok 20mm,Hy-Lok 10mm,,,
,,20S-12S,Hy-Lok 20mm,Hy-Lok 12mm,,,
,,20S-14S,Hy-Lok 20mm,Hy-Lok 14mm,,,
,,20S-16S,Hy-Lok 20mm,Hy-Lok 16mm,,,
,,25S-06S,Hy-Lok 25mm,Hy-Lok 6mm,,,
,,25S-08S,Hy-Lok 25mm,Hy-Lok 8mm,,,
,,25S-10S,Hy-Lok 25mm,Hy-Lok 10mm,,,
,,25S-12S,Hy-Lok 25mm,Hy-Lok 12mm,,,
,,25S-14S,Hy-Lok 25mm,Hy-Lok 14mm,,,
,,25S-16S,Hy-Lok 25mm,Hy-Lok 16mm,,,
,,25S-20S,Hy-Lok 25mm,Hy-Lok 20mm,,,
,,30S-06S,Hy-Lok 30mm,Hy-Lok 6mm,,,
,,30S-08S,Hy-Lok 30mm,Hy-Lok 8mm,,,
,,30S-10S,Hy-Lok 30mm,Hy-Lok 10mm,,,
,,30S-12S,Hy-Lok 30mm,Hy-Lok 12mm,,,
,,30S-14S,Hy-Lok 30mm,Hy-Lok 14mm,,,
,,30S-16S,Hy-Lok 30mm,Hy-Lok 16mm,,,
,,30S-20S,Hy-Lok 30mm,Hy-Lok 20mm,,,
,,30S-25S,Hy-Lok 30mm,Hy-Lok 25mm,,,
,,38S-06S,Hy-Lok 38mm,Hy-Lok 6mm,,,
,,38S-08S,Hy-Lok 38mm,Hy-Lok 8mm,,,
,,38S-10S,Hy-Lok 38mm,Hy-Lok 10mm,,,
,,38S-12S,Hy-Lok 38mm,Hy-Lok 12mm,,,
,,38S-14S,Hy-Lok 38mm,Hy-Lok 14mm,,,
,,38S-16S,Hy-Lok 38mm,Hy-Lok 16mm,,,
,,38S-20S,Hy-Lok 38mm,Hy-Lok 20mm,,,
,,38S-25S,Hy-Lok 38mm,Hy-Lok 25mm,,,
,,38S-30S,Hy-Lok 38mm,Hy-Lok 30mm,,,
