#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Подсоединение 2,Параметр:Заказной код:Материал,Параметр:Заказной код:Аналог продукции,
,SKAR10/06X1.571,DIN 10mm,DIN 6mm,S316,DAKR-1006X1.5,
,SKAR10/08X2.071,DIN 10mm,DIN 8mm,S316,DAKR-1008X2.0,
,SKAR12/08X2.071,DIN 12mm,DIN 8mm,S316,DAKR-1208X2.0,
,SKAR12/10X1.571,DIN 12mm,DIN 10mm,S316,DAKR-1210X1.5,
,SKAR16/12X2.571,DIN 16mm,DIN 12mm,S316,DAKR-1612X2.5,
,SKAR20/12X2.571,DIN 20mm,DIN 12mm,S316,DAKR-2012X2.5,
,SKAR20/16X3.071,DIN 20mm,DIN 16mm,S316,DAKR-2016X3.0,
,SKAR25/16X3.071,DIN 25mm,DIN 16mm,S316,DAKR-2516X3.0,
,SKAR25/20X4.071,DIN 25mm,DIN 20mm,S316,DAKR-2520X4.0,
,SKAR30/16X2.071,DIN 30mm,DIN 16mm,S316,DAKR-3016X2.0,
,SKAR30/20X2.571,DIN 30mm,DIN 20mm,S316,DAKR-3020X2.5,
,SKAR30/25X3.071,DIN 30mm,DIN 25mm,S316,DAKR-3025X3.0,
,SKAR38/16X2.071,DIN 38mm,DIN 16mm,S316,DAKR-3816X2.0,
,SKAR38/20X2.571,DIN 38mm,DIN 20mm,S316,DAKR-3820X2.5,
,SKAR38/20X3.071,DIN 38mm,DIN 20mm,S316,DAKR-3820X3.0,
,SKAR38/30X4.071,DIN 38mm,DIN 30mm,S316,DAKR-3830X4.0,
,SKAR10/06X1.5,DIN 10mm,DIN 6mm,STEL,DAKR-1006X1.5-STEL,
,SKAR10/08X2.0,DIN 10mm,DIN 8mm,STEL,DAKR-1008X2.0-STEL,
,SKAR12/08X2.0,DIN 12mm,DIN 8mm,STEL,DAKR-1208X2.0-STEL,
,SKAR12/10X1.5,DIN 12mm,DIN 10mm,STEL,DAKR-1210X1.5-STEL,
,SKAR16/12X2.5,DIN 16mm,DIN 12mm,STEL,DAKR-1612X2.5-STEL,
,SKAR20/12X2.5,DIN 20mm,DIN 12mm,STEL,DAKR-2012X2.5-STEL,
,SKAR20/16X3.0,DIN 20mm,DIN 16mm,STEL,DAKR-2016X3.0-STEL,
,SKAR25/16X3.0,DIN 25mm,DIN 16mm,STEL,DAKR-2516X3.0-STEL,
,SKAR25/20X4.0,DIN 25mm,DIN 20mm,STEL,DAKR-2520X4.0-STEL,
,SKAR30/16X2.0,DIN 30mm,DIN 16mm,STEL,DAKR-3016X2.0-STEL,
,SKAR30/20X2.5,DIN 30mm,DIN 20mm,STEL,DAKR-3020X2.5-STEL,
,SKAR30/25X3.0,DIN 30mm,DIN 25mm,STEL,DAKR-3025X3.0-STEL,
,SKAR38/16X2.0,DIN 38mm,DIN 16mm,STEL,DAKR-3816X2.0-STEL,
,SKAR38/20X2.5,DIN 38mm,DIN 20mm,STEL,DAKR-3820X2.5-STEL,
,SKAR38/20X3.0,DIN 38mm,DIN 20mm,STEL,DAKR-3820X3.0-STEL,
,SKAR38/30X4.0,DIN 38mm,DIN 30mm,STEL,DAKR-3830X4.0-STEL,
,,,,,,
,,,,,,
