#;Заказной код;Размер;Параметр:Размер:Наруж. диаметр трубы (D);Параметр:Размер:Резьба (цилиндрическая);Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;COMT;6M-4G ;Hy-Lok 6mm;"G 1/4""";-;S316;Нержавеющая сталь
;;8M-8G ;Hy-Lok 8mm;"G 1/2""";BRAS;BRAS;Латунь
;;10M-8G ;Hy-Lok 10mm;"G 1/2""";STEL;STEL;Углеродистая сталь
;;12M-8G ;Hy-Lok 12mm;"G 1/2""";;;
;;14M-8G ;Hy-Lok 14mm;"G 1/2""";;;
