#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,H-MFAC,2-4N,"NPT 1/8""","NPT 1/4""",-,S316,Нержавеющая сталь
,,2-6N,"NPT 1/8""","NPT 3/8""",BRAS,BRAS,Латунь
,,4-6N,"NPT 1/4""","NPT 3/8""",STEL,STEL,Углеродистая сталь
,,2-8N,"NPT 1/8""","NPT 1/2""",,,
,,4-8N,"NPT 1/4""","NPT 1/2""",,,
,,6-8N,"NPT 3/8""","NPT 1/2""",,,
,,4-12N,"NPT 1/4""","NPT 3/4""",,,
,,6-12N,"NPT 3/8""","NPT 3/4""",,,
,,8-12N,"NPT 1/2""","NPT 3/4""",,,
,,4-16N,"NPT 1/4""","NPT 1""",,,
,,12-16N,"NPT 3/4""","NPT 1""",,,
,,8-16N,"NPT 1/2""","NPT 1""",,,
