#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Параметр:Размер:Материал корпуса
,H-ZFC,2-1N-B,"ZCR M 1/8""","NPT 1/16""",нерж.сталь SM6L
,,2-2N-B,"ZCR M 1/8""","NPT 1/8""",нерж.сталь SM6L
,,4-2N-B,"ZCR M 1/4""","NPT 1/8""",нерж.сталь SM6L
,,4-4N-B,"ZCR M 1/4""","NPT 1/4""",нерж.сталь SM6L
,,8-6N-B,"ZCR M 1/2""","NPT 3/8""",нерж.сталь SM6L
,,8-8N-B,"ZCR M 1/2""","NPT 1/2""",нерж.сталь SM6L
,,12-12N-B,"ZCR M 3/4""","NPT 3/4""",нерж.сталь SM6L
,,16-16N-B,"ZCR M 1""","NPT 1""",нерж.сталь SM6L
