#,Заказной код,Размер,Параметр:Размер:Размер резьбы (внутр.),Параметр:Размер:E,Параметр:Размер:H,Параметр:Размер:J,Параметр:Размер:O,Параметр:Размер:R,Параметр:Размер:Drill Hole Dia,Параметр:Размер:«U» Drive Screw Size,Параметр:Размер:Drill number
,CBRE,"""1","1/16""",9.52,7.93,7.93,3.97,3.97,3,6-3/8,31
,,"""2","1/8""",12.7,12.7,10.32,5.56,3.97,3,6-3/8,31
,,"""3","3/16""",14.28,14.28,11.91,6.35,3.97,3,6-3/8,31
,,"""4","1/4""",15.87,15.87,12.7,7.14,3.97,3,6-3/8,31
,,"""5","5/16""",17.46,17.46,14.28,7.93,3.97,3,6-3/8,31
,,"""6","3/8""",19.05,19.05,15.87,8.73,3.97,3,6-3/8,31
,,"""8","1/2""",23.81,23.81,19.05,10.32,3.97,3,6-3/8,31
,,"""10","5/8""",25.4,26.98,20.64,10.23,5.56,3.66,10-1/2,27
,,"""12","3/4""",26.98,30.16,23.02,11.91,5.56,3.66,10-1/2,27
,,"""14","7/8""",28.58,33.33,26.19,13.49,5.56,3.66,10-1/2,27
,,"""16","1""",32.54,41.27,29.37,13.49,5.56,3.66,10-1/2,27
,,"""8M",Hy-Lok 8mm,17.46,18,14.28,7.93,3.97,3,6-3/8,31
,,"""10M",Hy-Lok 10mm,23.81,22,19.05,10.32,5.56,3.66,10-1/2,27
