#,Заказной код,Размер,Параметр:Размер:Подсоединение,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,Q,1SSF-2N,"NPT 1/8""",-,S316,Нержавеющая сталь
,,1SSF-4N,"NPT 1/4""",STEL,STEL,Углеродистая сталь
,,2SSF-4N,"NPT 1/4""",BRAS,BRAS,Латунь
,,2SSF-6N,"NPT 3/8""",,,
,,3SSF-8N,"NPT 1/2""",,,
,,1SSF-4R,"PT 1/4""",,,
,,2SSF-6R,"PT 3/8""",,,
,,3SSF-8R,"PT 1/2""",,,
