#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DSVT,06L-01G,Hy-Lok 6mm,"Hy-Lok 1/8""",-,S316,Нержавеющая сталь (316-я)
,,08L-02G,Hy-Lok 8mm,"Hy-Lok 1/4""",STEL,STEL,Углеродистая сталь
,,10L-02G,Hy-Lok 10mm,"Hy-Lok 1/4""",BRAS,BRAS,Латунь
,,12L-03G,Hy-Lok 12mm,"Hy-Lok 3/8""",,,
,,15L-04G,Hy-Lok 15mm,"Hy-Lok 1/2""",,,
,,18L-04G,Hy-Lok 18mm,"Hy-Lok 1/2""",,,
,,22L-06G,Hy-Lok 22mm,"Hy-Lok 3/4""",,,
,,28L-08G,Hy-Lok 28mm,"Hy-Lok 1""",,,
,,35L-10G,Hy-Lok 35mm,"Hy-Lok 1 1/4""",,,
,,42L-12G,Hy-Lok 42mm,"Hy-Lok 1 1/2""",,,
