#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Подсоединение 2,Параметр:Заказной код:Аналог продукции,Параметр:Заказной код:Материал
,TH08LMOMDCF,DIN 6mm,M12x1.5,DTH-08L-M12-STEL,STEL
,TH10LMOMDCF,DIN 8mm,M14x1.5,DTH-10L-M14-STEL,STEL
,TH12LMOMDCF,DIN 10mm,M16x1.5,DTH-12L-M16-STEL,STEL
,TH15LMOMDCF,DIN 12mm,M18x1.5,DTH-15L-M18-STEL,STEL
,TH18LMOMDCF,DIN 15mm,M22x1.5,DTH-18L-M22-STEL,STEL
,TH22LMOMDCF,DIN 18mm,M26x1.5,DTH-22L-M26-STEL,STEL
,TH28LMOMDCF,DIN 22mm,M33x2,DTH-28L-M33-STEL,STEL
,TH35LMOMDCF,DIN 28mm,M42x2,DTH-35L-M42-STEL,STEL
,TH42LMOMDCF,DIN 35mm,M48x2,DTH-42L-M48-STEL,STEL
,TH06LMOMDMS,DIN 16mm,M10x1.5,DTH-06L-M10-BRAS,BRAS
,TH08LMOMDMS,DIN 20mm,M12x1.5,DTH-08L-M12-BRAS,BRAS
,TH10LMOMDMS,DIN 25mm,M14x1.5,DTH-10L-M14-BRAS,BRAS
,TH12LMOMDMS,DIN 30mm,M16x1.5,DTH-12L-M16-BRAS,BRAS
,TH15LMOMDMS,DIN 38mm,M18x1.5,DTH-15L-M18-BRAS,BRAS
,TH18LMOMDMS,DIN 6mm,M22x1.5,DTH-18L-M22-BRAS,BRAS
,TH22LMOMDMS,DIN 8mm,M26x1.5,DTH-22L-M26-BRAS,BRAS
,TH28LMOMDMS,DIN 10mm,M33x2,DTH-28L-M33-BRAS,BRAS
,TH35LMOMDMS,DIN 12mm,M42x2,DTH-35L-M42-BRAS,BRAS
,TH42LMOMDMS,DIN 15mm,M48x2,DTH-42L-M48-BRAS,BRAS
,TH06SMOMD71,DIN 6mm,M12x1.5,DTH-06S-M12,S316
,TH08SMOMD71,DIN 8mm,M14x1.5,DTH-08S-M14,S316
,TH10SMOMD71,DIN 10mm,M16x1.5,DTH-10S-M16,S316
,TH12SMOMD71,DIN 12mm,M18x1.5,DTH-12S-M18,S316
,TH16SMOMD71,DIN 16mm,M22x1.5,DTH-16S-M22,S316
,TH20SMOMD71,DIN 20mm,M27x2,DTH-20S-M27,S316
,TH25SMOMD71,DIN 25mm,M33x2,DTH-25S-M33,S316
,TH30SMOMD71,DIN 30mm,M42x2,DTH-30S-M42,S316
,TH38SMOMD71,DIN 38mm,M48x2,DTH-35S-M48,S316
,TH06SMOMDCF,DIN 42mm,M12x1.5,DTH-06S-M12-STEL,STEL
,TH08SMOMDCF,DIN 6mm,M14x1.5,DTH-08S-M14-STEL,STEL
,TH10SMOMDCF,DIN 8mm,M16x1.5,DTH-10S-M16-STEL,STEL
,TH12SMOMDCF,DIN 10mm,M18x1.5,DTH-12S-M18-STEL,STEL
,TH16SMOMDCF,DIN 12mm,M22x1.5,DTH-16S-M22-STEL,STEL
,TH20SMOMDCF,DIN 14mm,M27x2,DTH-20S-M27-STEL,STEL
,TH25SMOMDCF,DIN 16mm,M33x2,DTH-25S-M33-STEL,STEL
,TH30SMOMDCF,DIN 20mm,M42x2,DTH-30S-M42-STEL,STEL
,TH38SMOMDCF,DIN 25mm,M48x2,DTH-35S-M48-STEL,STEL
,TH06SMOMDMS,DIN 18mm,M12x1.5,DTH-06S-M12-BRAS,BRAS
,TH08SMOMDMS,DIN 22mm,M14x1.5,DTH-08S-M14-BRAS,BRAS
,TH10SMOMDMS,DIN 28mm,M16x1.5,DTH-10S-M16-BRAS,BRAS
,TH12SMOMDMS,DIN 35mm,M18x1.5,DTH-12S-M18-BRAS,BRAS
,TH16SMOMDMS,DIN 42mm,M22x1.5,DTH-16S-M22-BRAS,BRAS
,TH20SMOMDMS,DIN 6mm,M27x2,DTH-20S-M27-BRAS,BRAS
,TH25SMOMDMS,DIN 8mm,M33x2,DTH-25S-M33-BRAS,BRAS
,TH30SMOMDMS,DIN 10mm,M42x2,DTH-30S-M42-BRAS,BRAS
,TH38SMOMDMS,DIN 12mm,M48x2,DTH-35S-M48-BRAS,BRAS
