#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DSVT,06L-M10,Hy-Lok 6mm,M10x1.5,-,S316,Нержавеющая сталь (316-я)
,,08L-M12,Hy-Lok 8mm,M12x1.5,STEL,STEL,Углеродистая сталь
,,10L-M14,Hy-Lok 10mm,M14x1.5,BRAS,BRAS,Латунь
,,12L-M16,Hy-Lok 12mm,M16x1.5,,,
,,15L-M18,Hy-Lok 15mm,M18x1.5,,,
,,18L-M22,Hy-Lok 18mm,M22x1.5,,,
,,22L-M26,Hy-Lok 22mm,M26x1.5,,,
,,28L-M33,Hy-Lok 28mm,M33x2,,,
,,35L-M42,Hy-Lok 35mm,M42x2,,,
,,42L-M48,Hy-Lok 42mm,M48x2,,,
