#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DCV,06S-02GED,DIN 6mm,"BSPP 1/4""",-,S316,Нержавеющая сталь (316-я)
,,08S-02GED,DIN 8mm,"BSPP 1/4""",STEL,STEL,Углеродистая сталь
,,10S-03GED,DIN 10mm,"BSPP 3/8""",BRAS,BRAS,Латунь
,,12S-03GED,DIN 12mm,"BSPP 3/8""",,,
,,14S-04GED,DIN 14mm,"BSPP 1/2""",,,
,,16S-04GED,DIN 16mm,"BSPP 1/2""",,,
,,20S-06GED,DIN 20mm,"BSPP 3/4""",,,
,,25S-08GED,DIN 25mm,"BSPP 1""",,,
,,30S-10GED,DIN 30mm,"BSPP 1 1/4""",,,
,,38S-12GED,DIN 38mm,"BSPP 1 1/2""",,,
