#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,H-POMA,4-4N,"Под шланг 1/4""","NPT 1/4""",-,S316,Нержавеющая сталь
,,6-4N,"Под шланг 3/8""","NPT 1/4""",STEL,STEL,Углеродистая сталь
,,6-6N,"Под шланг 3/8""","NPT 3/8""",BRAS,BRAS,Латунь
,,8-8N,"Под шланг 1/2""","NPT 1/2""",,,
