#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DMC,06L-01G,DIN 6mm,"BSPP 1/8""",-,S316,Нержавеющая сталь (316-я)
,,06L-02G,DIN 6mm,"BSPP 1/4""",STEL,STEL,Углеродистая сталь
,,06L-03G,DIN 6mm,"BSPP 3/8""",BRAS,BRAS,Латунь
,,08L-01G,DIN 8mm,"BSPP 1/8""",,,
,,08L-02G,DIN 8mm,"BSPP 1/4""",,,
,,08L-03G,DIN 8mm,"BSPP 3/8""",,,
,,08L-04G,DIN 8mm,"BSPP 1/2""",,,
,,10L-02G,DIN 10mm,"BSPP 1/4""",,,
,,10L-03G,DIN 10mm,"BSPP 3/8""",,,
,,10L-04G,DIN 10mm,"BSPP 1/2""",,,
,,12L-02G,DIN 12mm,"BSPP 1/4""",,,
,,12L-03G,DIN 12mm,"BSPP 3/8""",,,
,,12L-04G,DIN 12mm,"BSPP 1/2""",,,
,,15L-03G,DIN 15mm,"BSPP 3/8""",,,
,,15L-04G,DIN 15mm,"BSPP 1/2""",,,
,,18L-04G,DIN 18mm,"BSPP 1/2""",,,
,,22L-06G,DIN 22mm,"BSPP 3/4""",,,
,,28L-08G,DIN 28mm,"BSPP 1""",,,
,,35L-10G,DIN 35mm,"BSPP 1 1/4""",,,
,,42L-12G,DIN 42mm,"BSPP 1 1/2""",,,
