#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Параметр:Размер:Материал корпуса
,H-ZBHC,4-4-B,"ZCR M 1/4""","ZCR 1/4""",нерж.сталь SM6L
,,4-4L48-B,"ZCR M 1/4""","ZCR 1/4""",нерж.сталь SM6L
,,8-6-B,"ZCR M 1/2""","ZCR 3/4""",нерж.сталь SM6L
,,8-8-B,"ZCR M 1/2""","ZCR 1/2""",нерж.сталь SM6L
