#,Заказной код,Размер,Параметр:Размер:Накидная гайка,Параметр:Размер:Обжимной фитинг,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,CSRA,4-1,Hy-Lok 1/4,"Hy-Lok 1/16""",-,S316,Нержавеющая сталь
,,4-2,Hy-Lok 1/4,"Hy-Lok 1/8""",BRAS,BRAS,Латунь
,,4-3,Hy-Lok 1/4,"Hy-Lok 3/16""",STEL,STEL,Углеродистая сталь
,,4-4,Hy-Lok 1/4,"Hy-Lok 1/4""",,,
,,4-6,Hy-Lok 1/4,"Hy-Lok 3/8""",,,
,,4-8,Hy-Lok 1/4,"Hy-Lok 1/2""",,,
,,6-2,Hy-Lok 3/8,"Hy-Lok 1/8""",,,
,,6-4,Hy-Lok 3/8,"Hy-Lok 1/4""",,,
,,6-8,Hy-Lok 3/8,"Hy-Lok 1/2""",,,
,,8-2,Hy-Lok 1/2,"Hy-Lok 1/8""",,,
,,8-4,Hy-Lok 1/2,"Hy-Lok 1/4""",,,
,,8-6,Hy-Lok 1/2,"Hy-Lok 3/8""",,,
,,8-8,Hy-Lok 1/2,"Hy-Lok 1/2""",,,
,,8-12,Hy-Lok 1/2,"Hy-Lok 3/4""",,,
,,10-6,Hy-Lok 5/8,"Hy-Lok 3/8""",,,
,,10-8,Hy-Lok 5/8,"Hy-Lok 1/2""",,,
,,12-4,Hy-Lok 3/4,"Hy-Lok 1/4""",,,
,,12-6,Hy-Lok 3/4,"Hy-Lok 3/8""",,,
,,12-8,Hy-Lok 3/4,"Hy-Lok 1/2""",,,
,,12-10,Hy-Lok 3/4,"Hy-Lok 5/8""",,,
,,12-16,Hy-Lok 3/4,"Hy-Lok 1""",,,
,,14-10,Hy-Lok 7/8,"Hy-Lok 5/8""",,,
,,16-8,Hy-Lok 1,"Hy-Lok 1/2""",,,
,,16-10,Hy-Lok 1,"Hy-Lok 5/8""",,,
,,16-12,Hy-Lok 1,"Hy-Lok 3/4""",,,
