#,Заказной код,Размер,Параметр:Размер:Подсоединение,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,Q,1BM-2N,"NPT 1/8""",-,S316,Нержавеющая сталь
,,1BM-4N,"NPT 1/4""",STEL,STEL,Углеродистая сталь
,,2BM-4N,"NPT 1/4""",BRAS,BRAS,Латунь
,,2BM-6N,"NPT 3/8""",,,
,,3BM-8N,"NPT 1/2""",,,
,,1BM-4R,"PT 1/4""",,,
,,2BM-6R,"PT 3/8""",,,
,,3BM-8R,"PT 1/2""",,,
