#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DUR,08S-06S,DIN 8mm,DIN 6mm,-,S316,Нержавеющая сталь (316-я)
,,10S-06S,DIN 10mm,DIN 6mm,STEL,STEL,Углеродистая сталь
,,10S-08S,DIN 10mm,DIN 8mm,BRAS,BRAS,Латунь
,,12S-06S,DIN 12mm,DIN 6mm,,,
,,12S-08S,DIN 12mm,DIN 8mm,,,
,,12S-10S,DIN 12mm,DIN 10mm,,,
,,14S-10S,DIN 14mm,DIN 10mm,,,
,,14S-12S,DIN 14mm,DIN 12mm,,,
,,16S-12S,DIN 16mm,DIN 12mm,,,
,,16S-14S,DIN 16mm,DIN 14mm,,,
,,20S-10S,DIN 20mm,DIN 10mm,,,
,,20S-12S,DIN 20mm,DIN 12mm,,,
,,20S-16S,DIN 20mm,DIN 16mm,,,
,,25S-16S,DIN 25mm,DIN 16mm,,,
,,25S-20S,DIN 25mm,DIN 20mm,,,
,,30S-20S,DIN 30mm,DIN 20mm,,,
,,30S-25S,DIN 30mm,DIN 25mm,,,
,,38S-30S,DIN 38mm,DIN 30mm,,,
