#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,H-SUR,2N,"NPT 1/8""","NPT 1/8""",-,S316,Нержавеющая сталь
,,4N,"NPT 1/4""","NPT 1/4""",BRAS,BRAS,Латунь
,,6N,"NPT 3/8""","NPT 3/8""",STEL,STEL,Углеродистая сталь
,,8N,"NPT 1/2""","NPT 1/2""",,,
,,8R,"RT 1/2""","RT 1/2""",,,
,,12N,"NPT 3/4""","NPT 3/4""",,,
,,16N,"NPT 1""","NPT 1""",,,
,,MF4N,"NPT 1/4""","NPT 1/4""",,,
,,MF8N,"NPT 1/2""","NPT 1/2""",,,
,,MF8R,"RT 1/2""","RT 1/2""",,,
