#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DGA,06L-02G,DIN 6mm,"BSPP 1/4""",-,S316,Нержавеющая сталь (316-я)
,,08L-02G,DIN 8mm,"BSPP 1/4""",STEL,STEL,Углеродистая сталь
,,10L-02G,DIN 10mm,"BSPP 1/4""",BRAS,BRAS,Латунь
,,12L-02G,DIN 12mm,"BSPP 1/4""",,,
,,,,,,,
,,,,,,,
,,,,,,,
