#,Заказной код,Размер,"Параметр:Размер:D,",Параметр:Размер:D1,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,CR,3M-3M,Hy-Lok 3mm,ниппель 3mm,-,S316,Нержавеющая сталь
,,3M-4M,Hy-Lok 3mm,ниппель 4mm,BRAS,BRAS,Латунь
,,3M-6M,Hy-Lok 3mm,ниппель 6mm,STEL,STEL,Углеродистая сталь
,,3M-10M,Hy-Lok 3mm,ниппель 10mm,,,
,,3M-12M,Hy-Lok 3mm,ниппель 12mm,,,
,,4M-3M,Hy-Lok 4mm,ниппель 3mm,,,
,,4M-6M,Hy-Lok 4mm,ниппель 6mm,,,
,,6M-3M,Hy-Lok 6mm,ниппель 3mm,,,
,,6M-4M,Hy-Lok 6mm,ниппель 4mm,,,
,,6M-6M,Hy-Lok 6mm,ниппель 6mm,,,
,,6M-8M,Hy-Lok 6mm,ниппель 8mm,,,
,,6M-10M,Hy-Lok 6mm,ниппель 10mm,,,
,,6M-12M,Hy-Lok 6mm,ниппель 12mm,,,
,,6M-16M,Hy-Lok 6mm,ниппель 16mm,,,
,,6M-20M,Hy-Lok 6mm,ниппель 20mm,,,
,,8M-6M,Hy-Lok 8mm,ниппель 6mm,,,
,,8M-8M,Hy-Lok 8mm,ниппель 8mm,,,
,,8M-10M,Hy-Lok 8mm,ниппель 10mm,,,
,,8M-12M,Hy-Lok 8mm,ниппель 12mm,,,
,,8M-25M,Hy-Lok 8mm,ниппель 25mm,,,
,,10M-6M,Hy-Lok 10mm,ниппель 6mm,,,
,,10M-8M,Hy-Lok 10mm,ниппель 8mm,,,
,,10M-10M,Hy-Lok 10mm,ниппель 10mm,,,
,,10M-12M,Hy-Lok 10mm,ниппель 12mm,,,
,,10M-16M,Hy-Lok 10mm,ниппель 16mm,,,
,,10M-18M,Hy-Lok 10mm,ниппель 18mm,,,
,,10M-20M,Hy-Lok 10mm,ниппель 20mm,,,
,,12M-6M,Hy-Lok 12mm,ниппель 6mm,,,
,,12M-8M,Hy-Lok 12mm,ниппель 8mm,,,
,,12M-10M,Hy-Lok 12mm,ниппель 10mm,,,
,,12M-12M,Hy-Lok 12mm,ниппель 12mm,,,
,,12M-15M,Hy-Lok 12mm,ниппель 15mm,,,
,,12M-16M,Hy-Lok 12mm,ниппель 16mm,,,
,,12M-18M,Hy-Lok 12mm,ниппель 18mm,,,
,,12M-20M,Hy-Lok 12mm,ниппель 20mm,,,
,,12M-25M,Hy-Lok 12mm,ниппель 25mm,,,
,,14M-6M,Hy-Lok 14mm,ниппель 6mm,,,
,,14M-8M,Hy-Lok 14mm,ниппель 8mm,,,
,,14M-12M,Hy-Lok 14mm,ниппель 12mm,,,
,,14M-14M,Hy-Lok 14mm,ниппель 14mm,,,
,,14M-25M,Hy-Lok 14mm,ниппель 25mm,,,
,,15M-6M,Hy-Lok 15mm,ниппель 6mm,,,
,,15M-14M,Hy-Lok 15mm,ниппель 14mm,,,
,,16M-10M,Hy-Lok 16mm,ниппель 10mm,,,
,,16M-12M,Hy-Lok 16mm,ниппель 12mm,,,
,,16M-20M,Hy-Lok 16mm,ниппель 20mm,,,
,,16M-22M,Hy-Lok 16mm,ниппель 22mm,,,
,,16M-25M,Hy-Lok 16mm,ниппель 25mm,,,
,,18M-22M,Hy-Lok 18mm,ниппель 22mm,,,
,,18M-25M,Hy-Lok 18mm,ниппель 25mm,,,
,,20M-12M,Hy-Lok 20mm,ниппель 12mm,,,
,,20M-16M,Hy-Lok 20mm,ниппель 16mm,,,
,,20M-18M,Hy-Lok 20mm,ниппель 18mm,,,
,,20M-25M,Hy-Lok 20mm,ниппель 25mm,,,
,,22M-12M,Hy-Lok 22mm,ниппель 12mm,,,
,,25M-16M,Hy-Lok 25mm,ниппель 16mm,,,
,,25M-20M,Hy-Lok 25mm,ниппель 20mm,,,
,,25M-32M,Hy-Lok 25mm,ниппель 32mm,,,
,,25M-38M,Hy-Lok 25mm,ниппель 38mm,,,
,,25M-50M,Hy-Lok 25mm,ниппель 50mm,,,
,,32M-38M,Hy-Lok 32mm,ниппель 38mm,,,
,,32M-50M,Hy-Lok 32mm,ниппель 50mm,,,
