#,Заказной код,Размер,Параметр:Размер:Подсоединение,Параметр:Размер:Подсоединение 2,Параметр:Размер:Подсоединение 3,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,DTR,10S-10S-06S,DIN 10mm,10mm,6mm,-,S316,Нержавеющая сталь (316-я)
,,12S-08S-08S,DIN 12mm,8mm,8mm,STEL,STEL,Углеродистая сталь
,,12S-12S-08S,DIN 12mm,12mm,8mm,BRAS,BRAS,Латунь
,,12S-12S-10S,DIN 12mm,12mm,10mm,,,
,,12S-12S-16S,DIN 12mm,12mm,16mm,,,
,,16S-16S-06S,DIN 16mm,16mm,6mm,,,
,,16S-16S-08S,DIN 16mm,16mm,8mm,,,
,,16S-16S-10S,DIN 16mm,16mm,10mm,,,
,,16S-16S-12S,DIN 16mm,16mm,12mm,,,
,,16S-16S-20S,DIN 16mm,16mm,20mm,,,
,,20S-20S-10S,DIN 20mm,20mm,10mm,,,
,,20S-20S-12S,DIN 20mm,20mm,12mm,,,
,,20S-20S-16S,DIN 20mm,20mm,16mm,,,
,,20S-20S-25S,DIN 20mm,20mm,25mm,,,
,,25S-25S-16S,DIN 25mm,25mm,16mm,,,
,,25S-25S-20S,DIN 25mm,25mm,20mm,,,
,,25S-25S-30S,DIN 25mm,25mm,30mm,,,
