#,Заказной код,Размер,Параметр:Размер:Вход,Параметр:Размер:Выход
,ASF,4T-M20,"Lok 1/4""","M20x1,5 вращ."
,,6M-M20,Lok 6мм,"M20x1,5 вращ."
,,8M-M20,Lok 8мм,"M20x1,5 вращ."
,,10M-M20,Lok 10мм,"M20x1,5 вращ."
,,12M-M20,Lok 12мм,"M20x1,5 вращ."
,,14M-M20,Lok 14мм,"M20x1,5 вращ."
