#;Заказной код;Размер;Параметр:Размер:Наруж. диаметр трубы (D);Параметр:Размер:BSPP;Условное обозначение:Размер:Наруж. диаметр трубы (D);Условное обозначение:Размер:BSPP;Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;CMC;8M-8G;Hy-Lok 8mm;"""1/2""";Подсоединение;Подсоединение BSPP;-;S316;Нержавеющая сталь
;;8M-6G;Hy-Lok 8mm;"""3/8""";Подсоединение;Подсоединение BSPP;BRAS;BRAS;Латунь
;;8M-4G;Hy-Lok 8mm;"""1/4""";Подсоединение;Подсоединение BSPP;STEL;STEL;Углеродистая сталь
;;8M-2G;Hy-Lok 8mm;"""1/8""";Подсоединение;Подсоединение BSPP;;;
;;8-8G;Hy-Lok 1/2;"""1/2""";Подсоединение;Подсоединение BSPP;;;
;;8-6G;Hy-Lok 1/2;"""3/8""";Подсоединение;Подсоединение BSPP;;;
;;8-4G;Hy-Lok 1/2;"""1/4""";Подсоединение;Подсоединение BSPP;;;
;;8-2G;Hy-Lok 1/2;"""1/2""";Подсоединение;Подсоединение BSPP;;;
;;8-16G;Hy-Lok 1/2;"""1""";Подсоединение;Подсоединение BSPP;;;
;;8-12G;Hy-Lok 1/2;"""3/4""";Подсоединение;Подсоединение BSPP;;;
;;6M-8G;Hy-Lok 6mm;"""1/2""";Подсоединение;Подсоединение BSPP;;;
;;6M-6G;Hy-Lok 6mm;"""3/8""";Подсоединение;Подсоединение BSPP;;;
;;6M-4G;Hy-Lok 6mm;"""1/4""";Подсоединение;Подсоединение BSPP;;;
;;6M-2G;Hy-Lok 6mm;"""1/2""";Подсоединение;Подсоединение BSPP;;;
;;6M-12G;Hy-Lok 6mm;"""3/4""";Подсоединение;Подсоединение BSPP;;;
;;6-8G;Hy-Lok 3/8;"""1/2""";Подсоединение;Подсоединение BSPP;;;
;;6-6G;Hy-Lok 3/8;"""3/8""";Подсоединение;Подсоединение BSPP;;;
;;6-4G;Hy-Lok 3/8;"""1/4""";Подсоединение;Подсоединение BSPP;;;
;;6-2G;Hy-Lok 3/8;"""1/2""";Подсоединение;Подсоединение BSPP;;;
;;6-12G;Hy-Lok 3/8;"""3/4""";Подсоединение;Подсоединение BSPP;;;
;;5-6G;Hy-Lok 5/16;"""3/8""";Подсоединение;Подсоединение BSPP;;;
;;5-4G;Hy-Lok 5/16;"""1/4""";Подсоединение;Подсоединение BSPP;;;
;;5-2G;Hy-Lok 5/16;"""1/2""";Подсоединение;Подсоединение BSPP;;;
;;4M-4G;Hy-Lok 4mm;"""1/4""";Подсоединение;Подсоединение BSPP;;;
;;4M-2G;Hy-Lok 4mm;"""1/2""";Подсоединение;Подсоединение BSPP;;;
;;4-8G;Hy-Lok 1/4;"""1/2""";Подсоединение;Подсоединение BSPP;;;
;;4-6G;Hy-Lok 1/4;"""3/8""";Подсоединение;Подсоединение BSPP;;;
;;4-4G;Hy-Lok 1/4;"""1/4""";Подсоединение;Подсоединение BSPP;;;
;;4-2G;Hy-Lok 1/4;"""1/8""";Подсоединение;Подсоединение BSPP;;;
;;4-1G;Hy-Lok 1/4;"""1/16""";Подсоединение;Подсоединение BSPP;;;
;;4-12G;Hy-Lok 1/4;"""3/4""";Подсоединение;Подсоединение BSPP;;;
;;3M-8G;Hy-Lok 3mm;"""1/2""";Подсоединение;Подсоединение BSPP;;;
;;3M-6G;Hy-Lok 3mm;"""3/8""";Подсоединение;Подсоединение BSPP;;;
;;3M-4G;Hy-Lok 3mm;"""1/4""";Подсоединение;Подсоединение BSPP;;;
;;3M-2G;Hy-Lok 3mm;"""1/8""";Подсоединение;Подсоединение BSPP;;;
;;3-4G;Hy-Lok 3/16;"""1/4""";Подсоединение;Подсоединение BSPP;;;
;;3-2G;Hy-Lok 3/16;"""1/8""";Подсоединение;Подсоединение BSPP;;;
