#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Материал,Параметр:Заказной код:Аналог продукции,,,,,
,VSTI1/8ED71,"BSPP 1/8""",S316,DVSTI-01GED,,,,,
,VSTI1/4ED71,"BSPP 1/4""",S316,DVSTI-02GED,,,,,
,VSTI3/8ED71,"BSPP 3/8""",S316,DVSTI-03GED,,,,,
,VSTI1/2ED71,"BSPP 1/2""",S316,DVSTI-04GED,,,,,
,VSTI3/4ED71,"BSPP 3/4""",S316,DVSTI-06GED,,,,,
,VSTI1ED71,"BSPP 1""",S316,DVSTI-08GED,,,,,
,VSTI11/4ED71,"BSPP 1 1/4""",S316,DVSTI-10GED,,,,,
,VSTI11/2ED71,"BSPP 1 1/2""",S316,DVSTI-12GED,,,,,
,VSTI1/8EDCF,"BSPP 1/8""",STEL,DVSTI-01GED-STEL,,,,,
,VSTI1/4EDCF,"BSPP 1/4""",STEL,DVSTI-02GED-STEL,,,,,
,VSTI3/8EDCF,"BSPP 3/8""",STEL,DVSTI-03GED-STEL,,,,,
,VSTI1/2EDCF,"BSPP 1/2""",STEL,DVSTI-04GED-STEL,,,,,
,VSTI3/4EDCF,"BSPP 3/4""",STEL,DVSTI-06GED-STEL,,,,,
,VSTI1EDCF,"BSPP 1""",STEL,DVSTI-08GED-STEL,,,,,
,VSTI11/4EDCF,"BSPP 1 1/4""",STEL,DVSTI-10GED-STEL,,,,,
,VSTI11/2EDCF,"BSPP 1/8""",STEL,DVSTI-12GED-STEL,,,,,
,VSTI1/8EDMS,"BSPP 1/8""",BRAS,DVSTI-01GED-BRAS,,,,,
,VSTI1/4EDMS,"BSPP 1/4""",BRAS,DVSTI-02GED-BRAS,,,,,
,VSTI3/8EDMS,"BSPP 3/8""",BRAS,DVSTI-03GED-BRAS,,,,,
,VSTI1/2EDMS,"BSPP 1/2""",BRAS,DVSTI-04GED-BRAS,,,,,
,VSTI3/4EDMS,"BSPP 3/4""",BRAS,DVSTI-06GED-BRAS,,,,,
,VSTI1EDMS,"BSPP 1""",BRAS,DVSTI-08GED-BRAS,,,,,
,VSTI11/4EDMS,"BSPP 1 1/4""",BRAS,DVSTI-10GED-BRAS,,,,,
,VSTI11/2EDMS,"BSPP 1/8""",BRAS,DVSTI-12GED-BRAS,,,,,
,VSTI10X1ED71,M10x1,S316,DVSTI-M10ED,,,,,
,VSTI12X1.5ED71,"M12x1,5",S316,DVSTI-M12ED,,,,,
,VSTI14X1.5ED71,"M14x1,5",S316,DVSTI-M14ED,,,,,
,VSTI16X1.5ED71,"M16x1,5",S316,DVSTI-M16ED,,,,,
,VSTI18X1.5ED71,"M18x1,5",S316,DVSTI-M18ED,,,,,
,VSTI20X1.5ED71,"M20x1,5",S316,DVSTI-M20ED,,,,,
,VSTI22X1.5ED71,"M22x1,5",S316,DVSTI-M22ED,,,,,
,VSTI26X1.5ED71,"M26x1,5",S316,DVSTI-M26ED,,,,,
,VSTI27X2ED71,M27x2,S316,DVSTI-M27ED,,,,,
,VSTI33X2ED71,M33x2,S316,DVSTI-M33ED,,,,,
,VSTI42X2ED71,M42x2,S316,DVSTI-M42ED,,,,,
,VSTI48X2ED71,M48x1,S316,DVSTI-M48ED,,,,,
,VSTI10X1EDCF,M10x1,STEL,DVSTI-M10ED-STEL,,,,,
,VSTI12X1.5EDCF,"M12x1,5",STEL,DVSTI-M12ED-STEL,,,,,
,VSTI14X1.5EDCF,"M14x1,5",STEL,DVSTI-M14ED-STEL,,,,,
,VSTI16X1.5EDCF,"M16x1,5",STEL,DVSTI-M16ED-STEL,,,,,
,VSTI18X1.5EDCF,"M18x1,5",STEL,DVSTI-M18ED-STEL,,,,,
,VSTI20X1.5EDCF,"M20x1,5",STEL,DVSTI-M20ED-STEL,,,,,
,VSTI22X1.5EDCF,"M22x1,5",STEL,DVSTI-M22ED-STEL,,,,,
,VSTI26X1.5EDCF,"M26x1,5",STEL,DVSTI-M26ED-STEL,,,,,
,VSTI27X2EDCF,M27x2,STEL,DVSTI-M27ED-STEL,,,,,
,VSTI33X2EDCF,M33x2,STEL,DVSTI-M33ED-STEL,,,,,
