#,Заказной код,Размер,Параметр:Размер:Подсоединение,Материал,Параметр:Материал:Материал,Условное обозначение:Материал:Материал
,H-SCA,20M,"M20x1,5P",-,S316,Нержавеющая сталь
,,,,STEL,STEL,Углеродистая сталь
,,,,BRAS,BRAS,Латунь
