#;Заказной код;Размер;"Параметр:Размер:D;";Параметр:Размер:Ниппель;Параметр:Размер:D1;Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;CRTA;1;"Hy-Lok 1/16""";"1/16""";"Hy-Lok 1/16""";-;S316;Нержавеющая сталь
;;2;"Hy-Lok 1/8""";"1/8""";"Hy-Lok 1/8""";BRAS;BRAS;Латунь
;;3;"Hy-Lok 3/16""";"3/16""";"Hy-Lok 3/16""";STEL;STEL;Углеродистая сталь
;;4;"Hy-Lok 1/4""";"1/4""";"Hy-Lok 1/4""";;;
;;5;"Hy-Lok 5/16""";"5/16""";"Hy-Lok 5/16""";;;
;;6;"Hy-Lok 3/8""";"3/8""";"Hy-Lok 3/8""";;;
;;8;"Hy-Lok 1/2""";"1/2""";"Hy-Lok 1/2""";;;
;;10;"Hy-Lok 5/8""";"5/8""";"Hy-Lok 5/8""";;;
;;12;"Hy-Lok 3/4""";"3/4""";"Hy-Lok 3/4""";;;
;;14;"Hy-Lok 7/8""";"7/8""";"Hy-Lok 7/8""";;;
;;16;"Hy-Lok 1""";"1""";"Hy-Lok 1""";;;
