#,Заказной код,Параметр:Заказной код:Подсоединение,Параметр:Заказной код:Подсоединение 2,Параметр:Заказной код:Аналог продукции,Параметр:Материал:Материал
,SWVE06LROMD71,DIN 6mm,"BSPP 1/8""",DSWVE-06L-01G,S316
,SWVE08LROMD71,DIN 8mm,"BSPP 1/4""",DSWVE-08L-02G,S316
,SWVE10LROMD71,DIN 10mm,"BSPP 1/4""",DSWVE-10L-02G,S316
,SWVE12LROMD71,DIN 12mm,"BSPP 3/8""",DSWVE-12L-03G,S316
,SWVE15LROMD71,DIN 15mm,"BSPP 1/2""",DSWVE-15L-04G,S316
,SWVE18LROMD71,DIN 18mm,"BSPP 1/2""",DSWVE-18L-04G,S316
,SWVE22LROMD71,DIN 22mm,"BSPP 3/4""",DSWVE-22L-06G,S316
,SWVE06LROMDCF,DIN 30mm,"BSPP 1/8""",DSWVE-06L-01G-STEL,STEL
,SWVE08LROMDCF,DIN 38mm,"BSPP 1/4""",DSWVE-08L-02G-STEL,STEL
,SWVE10LROMDCF,DIN 6mm,"BSPP 1/4""",DSWVE-10L-02G-STEL,STEL
,SWVE12LROMDCF,DIN 8mm,"BSPP 3/8""",DSWVE-12L-03G-STEL,STEL
,SWVE15LROMDCF,DIN 10mm,"BSPP 1/2""",DSWVE-15L-04G-STEL,STEL
,SWVE18LROMDCF,DIN 12mm,"BSPP 1/2""",DSWVE-18L-04G-STEL,STEL
,SWVE22LROMDCF,DIN 15mm,"BSPP 3/4""",DSWVE-22L-06G-STEL,STEL
,SWVE06LROMDMS,DIN 25mm,"BSPP 1/8""",DSWVE-06L-01G-BRAS,BRAS
,SWVE08LROMDMS,DIN 30mm,"BSPP 1/4""",DSWVE-08L-02G-BRAS,BRAS
,SWVE10LROMDMS,DIN 30mm,"BSPP 1/4""",DSWVE-10L-02G-BRAS,BRAS
,SWVE12LROMDMS,DIN 30mm,"BSPP 3/8""",DSWVE-12L-03G-BRAS,BRAS
,SWVE15LROMDMS,DIN 30mm,"BSPP 1/2""",DSWVE-15L-04G-BRAS,BRAS
,SWVE18LROMDMS,DIN 38mm,"BSPP 1/2""",DSWVE-18L-04G-BRAS,BRAS
,SWVE22LROMDMS,DIN 38mm,"BSPP 3/4""",DSWVE-22L-06G-BRAS,BRAS
,SWVE06SROMD71,DIN 6mm,"BSPP 1/4""",DSWVE-06S-02G,S316
,SWVE08SROMD71,DIN 8mm,"BSPP 1/4""",DSWVE-08S-02G,S316
,SWVE10SROMD71,DIN 10mm,"BSPP 3/8""",DSWVE-10S-03G,S316
,SWVE12SROMD71,DIN 12mm,"BSPP 1/2""",DSWVE-12S-04G,S316
,SWVE14SROMD71,DIN 14mm,"BSPP 3/8""",DSWVE-14S-03G,S316
,SWVE16SROMD71,DIN 16mm,"BSPP 1/2""",DSWVE-16S-04G,S316
,SWVE20SROMD71,DIN 20mm,"BSPP 3/8""",DSWVE-20S-06G,S316
,SWVE06SROMDCF,DIN 18mm,"BSPP 1/4""",DSWVE-06S-02G-STEL,STEL
,SWVE08SROMDCF,DIN 22mm,"BSPP 1/4""",DSWVE-08S-02G-STEL,STEL
,SWVE10SROMDCF,DIN 28mm,"BSPP 3/8""",DSWVE-10S-03G-STEL,STEL
,SWVE12SROMDCF,DIN 35mm,"BSPP 1/2""",DSWVE-12S-04G-STEL,STEL
,SWVE14SROMDCF,DIN 42mm,"BSPP 3/8""",DSWVE-14S-03G-STEL,STEL
,SWVE16SROMDCF,DIN 6mm,"BSPP 1/2""",DSWVE-16S-04G-STEL,STEL
,SWVE20SROMDCF,DIN 8mm,"BSPP 3/8""",DSWVE-20S-06G-STEL,STEL
,SWVE06SROMDMS,DIN 38mm,"BSPP 1/4""",DSWVE-06S-02G-BRAS,BRAS
,SWVE08SROMDMS,DIN 38mm,"BSPP 1/4""",DSWVE-08S-02G-BRAS,BRAS
,SWVE10SROMDMS,DIN 10mm,"BSPP 3/8""",DSWVE-10S-03G-BRAS,BRAS
,SWVE12SROMDMS,DIN 10mm,"BSPP 1/2""",DSWVE-12S-04G-BRAS,BRAS
,SWVE14SROMDMS,DIN 10mm,"BSPP 3/8""",DSWVE-14S-03G-BRAS,BRAS
,SWVE16SROMDMS,DIN 12mm,"BSPP 1/2""",DSWVE-16S-04G-BRAS,BRAS
,SWVE20SROMDMS,DIN 12mm,"BSPP 3/8""",DSWVE-20S-06G-BRAS,BRAS
,SWVE06LMOMD71,DIN 6mm,M10x1.5,DSWVE-06L-M10,S316
,SWVE08LMOMD71,DIN 8mm,M12x1.5,DSWVE-08L-M12,S316
,SWVE10LMOMD71,DIN 10mm,M14x1.5,DSWVE-10L-M14,S316
,SWVE12LMOMD71,DIN 12mm,M16x1.5,DSWVE-12L-M16,S316
,SWVE15LMOMD71,DIN 15mm,M18x1.5,DSWVE-15L-M18,S316
,SWVE18LMOMD71,DIN 18mm,M22x1.5,DSWVE-18L-M22,S316
,SWVE22LMOMD71,DIN 22mm,M26x1.5,DSWVE-22L-M26,S316
,SWVE06LMOMDCF,DIN 10mm,M10x1.5,DSWVE-06L-M10-STEL,STEL
,SWVE08LMOMDCF,DIN 12mm,M12x1.5,DSWVE-08L-M12-STEL,STEL
,SWVE10LMOMDCF,DIN 14mm,M14x1.5,DSWVE-10L-M14-STEL,STEL
,SWVE12LMOMDCF,DIN 16mm,M16x1.5,DSWVE-12L-M16-STEL,STEL
,SWVE15LMOMDCF,DIN 20mm,M18x1.5,DSWVE-15L-M18-STEL,STEL
,SWVE18LMOMDCF,DIN 25mm,M22x1.5,DSWVE-18L-M22-STEL,STEL
,SWVE22LMOMDCF,DIN 30mm,M26x1.5,DSWVE-22L-M26-STEL,STEL
,SWVE06LMOMDMS,DIN 12mm,M10x1.5,DSWVE-06L-M10-BRAS,BRAS
,SWVE08LMOMDMS,DIN 16mm,M12x1.5,DSWVE-08L-M12-BRAS,BRAS
,SWVE10LMOMDMS,DIN 16mm,M14x1.5,DSWVE-10L-M14-BRAS,BRAS
,SWVE12LMOMDMS,DIN 16mm,M16x1.5,DSWVE-12L-M16-BRAS,BRAS
,SWVE15LMOMDMS,DIN 16mm,M18x1.5,DSWVE-15L-M18-BRAS,BRAS
,SWVE18LMOMDMS,DIN 20mm,M22x1.5,DSWVE-18L-M22-BRAS,BRAS
,SWVE22LMOMDMS,DIN 20mm,M26x1.5,DSWVE-22L-M26-BRAS,BRAS
,SWVE06SMOMD71,DIN 6mm,M12x1.5,DSWVE-06S-M12,S316
,SWVE08SMOMD71,DIN 8mm,M14x1.5,DSWVE-08S-M14,S316
,SWVE10SMOMD71,DIN 10mm,M16x1.5,DSWVE-10S-M16,S316
,SWVE12SMOMD71,DIN 12mm,M18x1.5,DSWVE-12S-M18,S316
,SWVE14SMOMD71,DIN 14mm,M20x1.5,DSWVE-14S-M20,S316
,SWVE16SMOMD71,DIN 16mm,M22x1.5,DSWVE-16S-M22,S316
,SWVE20SMOMD71,DIN 20mm,M27x2,DSWVE-20S-M27,S316
,SWVE06SMOMDCF,DIN 38mm,M12x1.5,DSWVE-06S-M12-STEL,STEL
,SWVE08SMOMDCF,DIN 6mm,M14x1.5,DSWVE-08S-M14-STEL,STEL
,SWVE10SMOMDCF,DIN 8mm,M16x1.5,DSWVE-10S-M16-STEL,STEL
,SWVE12SMOMDCF,DIN 10mm,M18x1.5,DSWVE-12S-M18-STEL,STEL
,SWVE14SMOMDCF,DIN 12mm,M20x1.5,DSWVE-14S-M20-STEL,STEL
,SWVE16SMOMDCF,DIN 15mm,M22x1.5,DSWVE-16S-M22-STEL,STEL
,SWVE20SMOMDCF,DIN 18mm,M27x2,DSWVE-20S-M27-STEL,STEL
,SWVE06SMOMDMS,DIN 20mm,M12x1.5,DSWVE-06S-M12-BRAS,BRAS
,SWVE08SMOMDMS,DIN 20mm,M14x1.5,DSWVE-08S-M14-BRAS,BRAS
,SWVE10SMOMDMS,DIN 25mm,M16x1.5,DSWVE-10S-M16-BRAS,BRAS
,SWVE12SMOMDMS,DIN 25mm,M18x1.5,DSWVE-12S-M18-BRAS,BRAS
,SWVE14SMOMDMS,DIN 25mm,M20x1.5,DSWVE-14S-M20-BRAS,BRAS
,SWVE16SMOMDMS,DIN 30mm,M22x1.5,DSWVE-16S-M22-BRAS,BRAS
,SWVE20SMOMDMS,DIN 30mm,M27x2,DSWVE-20S-M27-BRAS,BRAS
