#;Заказной код;Размер;Параметр:Размер:Подсоединение;Параметр:Размер:NPT;Материал;Параметр:Материал:Материал;Условное обозначение:Материал:Материал
;CMCT;2M-2N ;Hy-Lok 2mm;"NPT 1/8""";-;S316;Нержавеющая сталь
;;2M-8N ;Hy-Lok 2mm;"NPT 1/2""";BRAS;BRAS;Латунь
;;3M-1N ;Hy-Lok 3mm;"NPT 1/16""";STEL;STEL;Углеродистая сталь
;;3M-2N ;Hy-Lok 3mm;"NPT 1/8""";;;
;;3M-4N ;Hy-Lok 3mm;"NPT 1/4""";;;
;;3M-8N ;Hy-Lok 3mm;"NPT 1/2""";;;
;;4M-2N ;Hy-Lok 4mm;"NPT 1/8""";;;
;;4M-4N ;Hy-Lok 4mm;"NPT 1/4""";;;
;;4M-8N ;Hy-Lok 4mm;"NPT 1/2""";;;
;;6M-2N ;Hy-Lok 6mm;"NPT 1/8""";;;
;;6M-4N ;Hy-Lok 6mm;"NPT 1/4""";;;
;;6M-6N ;Hy-Lok 6mm;"NPT 3/8""";;;
;;6M-8N ;Hy-Lok 6mm;"NPT 1/2""";;;
;;8M-4N ;Hy-Lok 8mm;"NPT 1/4""";;;
;;8M-8N ;Hy-Lok 8mm;"NPT 1/2""";;;
;;10M-6N ;Hy-Lok 10mm;"NPT 3/8""";;;
;;10M-8N ;Hy-Lok 10mm;"NPT 1/2""";;;
;;10M-12N ;Hy-Lok 10mm;"NPT 3/4""";;;
;;12M-8N ;Hy-Lok 12mm;"NPT 1/2""";;;
;;12M-12N ;Hy-Lok 12mm;"NPT 3/4""";;;
;;1-1N ;"Hy-Lok 1/16""";"NPT 1/16""";;;
;;1-2N ;"Hy-Lok 1/16""";"NPT 1/8""";;;
;;2-1N ;"Hy-Lok 1/8""";"NPT 1/16""";;;
;;2-2N ;"Hy-Lok 1/8""";"NPT 1/8""";;;
;;2-4N ;"Hy-Lok 1/8""";"NPT 1/4""";;;
;;3-2N ;"Hy-Lok 3/16""";"NPT 1/8""";;;
;;3-4N ;"Hy-Lok 3/16""";"NPT 1/4""";;;
;;4-2N ;"Hy-Lok 1/4""";"NPT 1/8""";;;
;;4-4N ;"Hy-Lok 1/4""";"NPT 1/4""";;;
;;4-6N ;"Hy-Lok 1/4""";"NPT 3/8""";;;
;;4-8N ;"Hy-Lok 1/4""";"NPT 1/2""";;;
;;5-4N ;"Hy-Lok 5/16""";"NPT 1/4""";;;
;;6-6N ;"Hy-Lok 3/8""";"NPT 3/8""";;;
;;6-8N ;"Hy-Lok 3/8""";"NPT 1/2""";;;
;;6-12N ;"Hy-Lok 3/8""";"NPT 3/4""";;;
;;8-8N ;"Hy-Lok 1/2""";"NPT 1/2""";;;
;;8-12N ;"Hy-Lok 1/2""";"NPT 3/4""";;;
;;12-12N ;"Hy-Lok 3/4""";"NPT 3/4""";;;
